PATH,TYPE,VALUE,MTIME
/1291/Files/1/Item,SZ,Administrative Tools\Disk Administrator.lnk,
/1291/Files/1/Product,DWORD,0x00000000,
/1291/Files/10,KEY,,2004-08-19 16:56:14
/1291/Files/10/Action,DWORD,0x00000004,
/1291/Files/10/Item,SZ,Administrative Tools\User Profile Editor.lnk,
/1291/Files/10/Product,DWORD,0x00000001,
/1291/Files/11,KEY,,2004-08-19 16:56:14
/1291/Files/11/Action,DWORD,0x00000004,
/1291/Files/11/Item,SZ,Administrative Tools\User Manager.lnk,
/1291/Files/11/Product,DWORD,0x00000000,
/1291/Files/12,KEY,,2004-08-19 16:56:14
/1291/Files/12/Action,DWORD,0x00000004,
/1291/Files/12/Item,SZ,Administrative Tools\DCOM Configuration.lnk,
/1291/Files/12/Product,DWORD,0x00000000,
/1291/Files/13,KEY,,2004-08-19 16:56:14
/1291/Files/13/Action,DWORD,0x00000004,
/1291/Files/13/Item,SZ,Administrative Tools\Administrative Wizards.lnk,
/1291/Files/13/Product,DWORD,0x00000001,
/1291/Files/14,KEY,,2004-08-19 16:56:14
/1291/Files/14/Action,DWORD,0x00000004,
/1291/Files/14/Item,SZ,Network Administration\Network Client Administrator.lnk,
/1291/Files/14/Product,DWORD,0x00000001,
/1291/Files/15,KEY,,2004-08-19 16:56:14
/1291/Files/15/Action,DWORD,0x00000004,
/1291/Files/15/Item,SZ,Network Administration\License Manager.lnk,
/1291/Files/15/Product,DWORD,0x00000001,
/1291/Files/16,KEY,,2004-08-19 16:56:14
/1291/Files/16/Action,DWORD,0x00000004,
/1291/Files/16/Item,SZ,Books Online.lnk,
/1291/Files/16/Product,DWORD,0x00000002,
/1291/Files/2,KEY,,2004-08-19 16:56:14
/1291/Files/2/Action,DWORD,0x00000004,
/1291/Files/2/Item,SZ,Administrative Tools\Performance Monitor.lnk,
/1291/Files/2/Product,DWORD,0x00000000,
/1291/Files/3,KEY,,2004-08-19 16:56:14
/1291/Files/3/Action,DWORD,0x00000004,
/1291/Files/3/Item,SZ,Administrative Tools\Backup.lnk,
/1291/Files/3/Product,DWORD,0x00000000,
/1291/Files/4,KEY,,2004-08-19 16:56:14
/1291/Files/4/Action,DWORD,0x00000004,
/1291/Files/4/Item,SZ,Administrative Tools\Event Viewer.lnk,
/1291/Files/4/Product,DWORD,0x00000000,
/1291/Files/5,KEY,,2004-08-19 16:56:14
/1291/Files/5/Action,DWORD,0x00000004,
/1291/Files/5/Item,SZ,Administrative Tools\Windows NT Diagnostics.lnk,
/1291/Files/5/Product,DWORD,0x00000000,
/1291/Files/6,KEY,,2004-08-19 16:56:14
/1291/Files/6/Action,DWORD,0x00000004,
/1291/Files/6/Item,SZ,Administrative Tools\Remote Access Admin.lnk,
/1291/Files/6/Product,DWORD,0x00000000,
/1291/Files/7,KEY,,2004-08-19 16:56:14
/1291/Files/7/Action,DWORD,0x00000004,
/1291/Files/7/Item,SZ,Administrative Tools\User Manager for Domains.lnk,
/1291/Files/7/Product,DWORD,0x00000001,
/1291/Files/8,KEY,,2004-08-19 16:56:14
/1291/Files/8/Action,DWORD,0x00000004,
/1291/Files/8/Item,SZ,Administrative Tools\Server Manager.lnk,
/1291/Files/8/Product,DWORD,0x00000001,
/1291/Files/9,KEY,,2004-08-19 16:56:14
/1291/Files/9/Action,DWORD,0x00000004,
/1291/Files/9/Item,SZ,Administrative Tools\Migration Tool for NetWare.lnk,
/1291/Files/9/Product,DWORD,0x00000001,
/1324,KEY,,2004-08-19 16:56:14
/1324/Hive,KEY,,2004-08-19 16:56:14
/1324/Hive/1,KEY,,2004-08-19 16:56:14
/1324/Hive/1/Action,DWORD,0x00000003,
/1324/Hive/1/KeyName,SZ,Control Panel\Desktop,
/1324/Hive/1/Value,SZ,2,
/1324/Hive/1/ValueName,SZ,DragHeight,
/1324/Hive/2,KEY,,2004-08-19 16:56:14
/1324/Hive/2/Action,DWORD,0x00000003,
/1324/Hive/2/KeyName,SZ,Control Panel\Desktop,
/1324/Hive/2/Value,SZ,2,
/1324/Hive/2/ValueName,SZ,DragWidth,
/1324/Hive/3,KEY,,2004-08-19 16:56:14
/1324/Hive/3/Action,DWORD,0x00000003,
/1324/Hive/3/KeyName,SZ,Control Panel\Desktop,
/1324/Hive/3/Value,SZ,3,
/1324/Hive/3/ValueName,SZ,WheelScrollLines,
/1342,KEY,,2004-08-19 16:56:14
/1342/Hive,KEY,,2004-08-19 16:56:14
/1342/Hive/1,KEY,,2004-08-19 16:56:14
/1342/Hive/1/Action,DWORD,0x00000003,
/1342/Hive/1/KeyName,SZ,Control Panel\Mouse,
/1342/Hive/1/Value,DWORD,0x00000000,
/1342/Hive/1/ValueName,SZ,ActiveWindowTracking,
/1348,KEY,,2004-08-19 16:56:14
/1348/Execute,KEY,,2004-08-19 16:56:14
/1348/Execute/1,KEY,,2004-08-19 16:56:14
/1348/Execute/1/CommandLine,EXPAND_SZ,%25SystemRoot%25\system32\shmgrate.exe Fix-User-Security,
/1370,KEY,,2004-08-19 16:56:14
/1370/Files,KEY,,2004-08-19 16:56:14
/1370/Files/1,KEY,,2004-08-19 16:56:14
/1370/Files/1/Action,DWORD,0x00000004,
/1370/Files/1/Item,SZ,Accessories\Write.lnk,
/1372,KEY,,2004-08-19 16:56:14
/1372/Files,KEY,,2004-08-19 16:56:14
/1372/Files/1,KEY,,2004-08-19 16:56:14
/1372/Files/1/Action,DWORD,0x00000003,
/1372/Files/1/Item,SZ,Books Online.lnk,
/1372/Files/1/Product,DWORD,0x00000001,
/1382,KEY,,2004-08-19 16:56:14
/1382/Execute,KEY,,2004-08-19 16:56:14
/1382/Execute/1,KEY,,2004-08-19 16:56:14
/1382/Execute/1/CommandLine,EXPAND_SZ,%25SystemRoot%25\system32\shmgrate.exe UpgradeProfileNT4ToNT5,
/1430,KEY,,2004-08-19 16:56:14
/1430/Hive,KEY,,2004-08-19 16:56:14
/1430/Hive/1,KEY,,2004-08-19 16:56:14
/1430/Hive/1/Action,DWORD,0x00000003,
/1430/Hive/1/KeyName,SZ,Control Panel\Desktop,
/1430/Hive/1/Value,SZ,0,
/1430/Hive/1/ValueName,SZ,LowPowerTimeOut,
/1430/Hive/2,KEY,,2004-08-19 16:56:14
/1430/Hive/2/Action,DWORD,0x00000003,
/1430/Hive/2/KeyName,SZ,Control Panel\Desktop,
/1430/Hive/2/Value,SZ,0,
/1430/Hive/2/ValueName,SZ,LowPowerActive,
/1430/Hive/3,KEY,,2004-08-19 16:56:14
/1430/Hive/3/Action,DWORD,0x00000003,
/1430/Hive/3/KeyName,SZ,Control Panel\Desktop,
/1430/Hive/3/Value,SZ,0,
/1430/Hive/3/ValueName,SZ,PowerOffTimeOut,
/1430/Hive/4,KEY,,2004-08-19 16:56:14
/1430/Hive/4/Action,DWORD,0x00000003,
/1430/Hive/4/KeyName,SZ,Control Panel\Desktop,
/1430/Hive/4/Value,SZ,0,
/1430/Hive/4/ValueName,SZ,PowerOffActive,
/1493,KEY,,2004-08-19 16:56:14
/1493/Hive,KEY,,2004-08-19 16:56:14
/1493/Hive/1,KEY,,2004-08-19 16:56:14
/1493/Hive/1/Action,DWORD,0x00000001,
/1493/Hive/1/KeyName,SZ,Control Panel\Accessibility\HighContrast,
/1493/Hive/2,KEY,,2004-08-19 16:56:14
/1493/Hive/2/Action,DWORD,0x00000003,
/1493/Hive/2/KeyName,SZ,Control Panel\Accessibility\HighContrast,
/1493/Hive/2/Value,SZ,122,
/1493/Hive/2/ValueName,SZ,Flags,
/1493/Hive/3,KEY,,2004-08-19 16:56:14
/1493/Hive/3/Action,DWORD,0x00000003,
/1493/Hive/3/KeyName,SZ,Control Panel\Accessibility\HighContrast,
/1493/Hive/3/Value,SZ,High Contrast Black (large),
/1493/Hive/3/ValueName,SZ,High Contrast Scheme,
/1499,KEY,,2004-08-19 16:56:14
/1499/Execute,KEY,,2004-08-19 16:56:14
/1499/Execute/1,KEY,,2004-08-19 16:56:14
/1499/Execute/1/CommandLine,EXPAND_SZ,%25SystemRoot%25\system32\shmgrate.exe Cvt-Mouse-Schemes,
/1499/Hive,KEY,,2004-08-19 16:56:14
/1499/Hive/1,KEY,,2004-08-19 16:56:14
/1499/Hive/1/Action,DWORD,0x00000001,
/1499/Hive/1/KeyName,SZ,AppEvents\EventLabels\LowBatteryAlarm,
/1499/Hive/10,KEY,,2004-08-19 16:56:14
/1499/Hive/10/Action,DWORD,0x00000003,
/1499/Hive/10/KeyName,SZ,AppEvents\Schemes\Apps\PowerCfg\LowBatteryAlarm\.Default,
/1499/Hive/10/Value,SZ,,
/1499/Hive/10/ValueName,SZ,,
/1499/Hive/11,KEY,,2004-08-19 16:56:14
/1499/Hive/11/Action,DWORD,0x00000001,
