PATH,TYPE,VALUE,MTIME
/SAM/Domains/Account/Groups/00000201/C,BINARY,%02%00%01%00%01%02%00%00%07%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%B0%00%00%00%02%00%01%00%B0%00%00%00%08%00%00%00%00%00%00%00%B8%00%00%00%1C%00%00%00%00%00%00%00%D4%00%00%00d%00%00%00%05%00%00%00%01%00%14%80%90%00%00%00%A0%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00%0E%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%FF%1F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00L%00%03%00%00%00%00%00%14%00%11%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%1F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%18%00%1F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00$%02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00N%00o%00n%00e%00O%00r%00d%00i%00n%00a%00r%00y%00 %00u%00s%00e%00r%00s%00%F4%01%00%00%F5%01%00%00%E8%03%00%00%EA%03%00%00%EB%03%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00,
/SAM/Domains/Account/Groups/Names,KEY,,2004-08-19 16:59:24
/SAM/Domains/Account/Groups/Names/,NONE,(null),
/SAM/Domains/Account/Groups/Names/None,KEY,,2004-08-19 16:59:24
/SAM/Domains/Account/Groups/Names/None/,0x00000201,(null),
/SAM/Domains/Account/Users,KEY,,2004-08-19 23:03:54
/SAM/Domains/Account/Users/,DWORD_BE,(null),
/SAM/Domains/Account/Users/000001F4,KEY,,2004-08-19 17:17:29
/SAM/Domains/Account/Users/000001F4/F,BINARY,%02%00%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%B0%08%DCg%10%86%C4%01%FF%FF%FF%FF%FF%FF%FF%7F%00%00%00%00%00%00%00%00%F4%01%00%00%01%02%00%00%10%02%00%00%00%00%00%00%00%00%00%00%01%00%00%00%00%00%0D%00%0A%00%00%00,
/SAM/Domains/Account/Users/000001F4/V,BINARY,%00%00%00%00%BC%00%00%00%02%00%01%00%BC%00%00%00%1A%00%00%00%00%00%00%00%D8%00%00%00%00%00%00%00%00%00%00%00%D8%00%00%00l%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%00%00%00%00%00%00%00%00D%01%00%00%08%00%00%00%01%00%00%00L%01%00%00%04%00%00%00%00%00%00%00P%01%00%00%14%00%00%00%00%00%00%00d%01%00%00%04%00%00%00%00%00%00%00h%01%00%00%04%00%00%00%00%00%00%00%01%00%14%80%9C%00%00%00%AC%00%00%00%14%00%00%00D%00%00%00%02%000%00%02%00%00%00%02%C0%14%00D%00%05%01%01%01%00%00%00%00%00%01%00%00%00%00%02%C0%14%00%FF%FF%1F%00%01%01%00%00%00%00%00%05%07%00%00%00%02%00X%00%03%00%00%00%00%00%14%00[%03%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%18%00%FF%07%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00$%00D%00%02%00%01%05%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e%F4%01%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00A%00d%00m%00i%00n%00i%00s%00t%00r%00a%00t%00o%00r%00%00%00B%00u%00i%00l%00t%00-%00i%00n%00 %00a%00c%00c%00o%00u%00n%00t%00 %00f%00o%00r%00 %00a%00d%00m%00i%00n%00i%00s%00t%00e%00r%00i%00n%00g%00 %00t%00h%00e%00 %00c%00o%00m%00p%00u%00t%00e%00r%00/%00d%00o%00m%00a%00i%00n%00%01%02%00%00%07%00%00%00%01%00%01%00%01%00%01%00%FB%FE)%85K%87%0Cgg%9Dz%17k%22%B3%A4%01%00%01%00%01%00%01%00,
/SAM/Domains/Account/Users/000001F5,KEY,,2004-08-20 15:19:25
/SAM/Domains/Account/Users/000001F5/F,BINARY,%02%00%01%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%FF%FF%FF%FF%FF%FF%FF%7F%00%00%00%00%00%00%00%00%F5%01%00%00%01%02%00%00%14%02%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%0D%00%0A%00%00%00,
