PATH,TYPE,VALUE,MTIME
/Classes/.rtf,KEY,,2004-08-19 16:56:12
/Classes/.rtf/,SZ,rtffile,
/Classes/.rtf/ShellNew,KEY,,2004-08-19 16:56:12
/Classes/.rtf/ShellNew/Data,SZ,{\rtf1},
/Classes/.scf,KEY,,2004-08-19 16:56:12
/Classes/.scf/,SZ,SHCmdFile,
/Classes/.scp,KEY,,2004-08-19 16:56:12
/Classes/.scp/,SZ,txtfile,
/Classes/.scr,KEY,,2004-08-19 16:56:12
/Classes/.scr/,SZ,scrfile,
/Classes/.sdb,KEY,,2004-08-19 16:56:12
/Classes/.sdb/,SZ,appfixfile,
/Classes/.shb,KEY,,2004-08-19 16:56:12
/Classes/.shb/,SZ,DocShortcut,
/Classes/.shs,KEY,,2004-08-19 16:56:12
/Classes/.shs/,SZ,ShellScrap,
/Classes/.sys,KEY,,2004-08-19 16:56:12
/Classes/.sys/,SZ,sysfile,
/Classes/.sys/Generic,SZ,system,
/Classes/.ttc,KEY,,2004-08-19 16:56:12
/Classes/.ttc/,SZ,ttcfile,
/Classes/.ttf,KEY,,2004-08-19 16:56:12
/Classes/.ttf/,SZ,ttffile,
/Classes/.txt,KEY,,2004-08-19 16:56:12
/Classes/.txt/,SZ,txtfile,
/Classes/.txt/ShellNew,KEY,,2004-08-19 16:56:12
/Classes/.txt/ShellNew/NullFile,SZ,,
/Classes/.wav,KEY,,2004-08-19 16:56:12
/Classes/.wav/,SZ,SoundRec,
/Classes/.wav/OpenWithList,KEY,,2004-08-19 16:56:12
/Classes/.wav/OpenWithList/sndrec32.exe,KEY,,2004-08-19 16:56:12
/Classes/.webpnp,KEY,,2004-08-19 16:56:12
/Classes/.webpnp/,SZ,webpnpFile,
/Classes/.wtx,KEY,,2004-08-19 16:56:12
/Classes/.wtx/,SZ,txtfile,
/Classes/.zap,KEY,,2004-08-19 16:56:12
/Classes/.zap/,SZ,zapfile,
/Classes/AccessControlEntry,KEY,,2004-08-19 16:56:12
/Classes/AccessControlEntry/Clsid,KEY,,2004-08-19 16:56:12
/Classes/AccessControlEntry/Clsid/,SZ,{b75ac000-9bdd-11d0-852c-00c04fd8d503},
/Classes/AccessControlList,KEY,,2004-08-19 16:56:12
/Classes/AccessControlList/Clsid,KEY,,2004-08-19 16:56:12
/Classes/AccessControlList/Clsid/,SZ,{b85ea052-9bdd-11d0-852c-00c04fd8d503},
/Classes/acwfile,KEY,,2004-08-19 16:56:12
/Classes/acwfile/,SZ,,
/Classes/acwfile/FriendlyTypeName,EXPAND_SZ,@%25SystemRoot%25\system32\accwiz.exe%2C-16,
/Classes/acwfile/DefaultIcon,KEY,,2004-08-19 16:56:12
/Classes/acwfile/DefaultIcon/,EXPAND_SZ,%25SystemRoot%25\system32\accwiz.exe%2C0,
/Classes/acwfile/shell,KEY,,2004-08-19 16:56:12
/Classes/acwfile/shell/open,KEY,,2004-08-19 16:56:12
/Classes/acwfile/shell/open/command,KEY,,2004-08-19 16:56:12
/Classes/acwfile/shell/open/command/,EXPAND_SZ,%25SystemRoot%25\system32\accwiz.exe %251,
/Classes/ADCS,KEY,,2004-08-19 16:56:12
/Classes/ADCS/,SZ,Directory Class Container,
/Classes/ADCS/CLSID,KEY,,2004-08-19 16:56:12
/Classes/ADCS/CLSID/,SZ,{89E30300-764D-11d0-B282-00A0C90F56FC},
/Classes/ADs,KEY,,2004-08-19 16:56:12
/Classes/ADs/Clsid,KEY,,2004-08-19 16:56:12
/Classes/ADs/Clsid/,SZ,{4753da60-5b71-11cf-b035-00aa006e0975},
/Classes/ADsDSOObject,KEY,,2004-08-19 16:56:12
/Classes/ADsDSOObject/,SZ,OLE DB Provider for Microsoft Directory Services,
/Classes/ADsDSOObject/Clsid,KEY,,2004-08-19 16:56:12
/Classes/ADsDSOObject/Clsid/,SZ,{549365d0-ec26-11cf-8310-00aa00b505db},
/Classes/ADsNamespaces,KEY,,2004-08-19 16:56:12
/Classes/ADsNamespaces/Clsid,KEY,,2004-08-19 16:56:12
/Classes/ADsNamespaces/Clsid/,SZ,{233664b0-0367-11cf-abc4-02608c9e7553},
/Classes/ADsSecurityUtility,KEY,,2004-08-19 16:56:12
/Classes/ADsSecurityUtility/,SZ,%25ADS_SECURITY_UTILITY_OBJECT%25,
/Classes/ADsSecurityUtility/Clsid,KEY,,2004-08-19 16:56:12
/Classes/ADsSecurityUtility/Clsid/,SZ,{f270c64a-ffb8-4ae4-85fe-3a75e5347966},
/Classes/ADSystemInfo,KEY,,2004-08-19 16:56:12
/Classes/ADSystemInfo/Clsid,KEY,,2004-08-19 16:56:12
/Classes/ADSystemInfo/Clsid/,SZ,{50B6327F-AFD1-11d2-9CB9-0000F87A369E},
/Classes/anifile,KEY,,2004-08-19 16:56:12
/Classes/anifile/,SZ,Animated Cursor,
/Classes/anifile/FriendlyTypeName,EXPAND_SZ,@%25SystemRoot%25\system32\main.cpl%2C-2000,
/Classes/anifile/DefaultIcon,KEY,,2004-08-19 16:56:12
/Classes/anifile/DefaultIcon/,SZ,%251,
/Classes/appfixfile,KEY,,2004-08-19 16:56:12
/Classes/appfixfile/,SZ,Appfix Package,
/Classes/appfixfile/DefaultIcon,KEY,,2004-08-19 16:56:12
/Classes/appfixfile/DefaultIcon/,EXPAND_SZ,%25SystemRoot%25\System32\shell32.dll%2C-154,
/Classes/appfixfile/shell,KEY,,2004-08-19 16:56:12
/Classes/appfixfile/shell/open,KEY,,2004-08-19 16:56:12
/Classes/appfixfile/shell/open/command,KEY,,2004-08-19 16:56:12
/Classes/appfixfile/shell/open/command/,EXPAND_SZ,%25SystemRoot%25\system32\sdbinst.exe %22%251%22,
/Classes/AppID,KEY,,2004-08-19 16:56:14
/Classes/AppID/dmadmin.exe,KEY,,2004-08-19 16:56:14
/Classes/AppID/dmadmin.exe/AppID,SZ,{4FB6BB00-3347-11d0-B40A-00AA005FF586},
/Classes/AppID/dmremote.exe,KEY,,2004-08-19 16:56:14
/Classes/AppID/dmremote.exe/AppID,SZ,{D485DDC0-49C6-11d1-8E56-00A0C92C9D5D},
/Classes/AppID/TlntSvr.Exe,KEY,,2004-08-19 16:56:12
/Classes/AppID/TlntSvr.Exe/AppID,SZ,{FE9E4896-A014-11D1-855C-00A0C944138C},
/Classes/AppID/{00020C01-0000-0000-C000-000000000046},KEY,,2004-08-19 16:56:12
/Classes/AppID/{00020C01-0000-0000-C000-000000000046}/,SZ,Sound Recorder,
/Classes/AppID/{00022601-0000-0000-C000-000000000046},KEY,,2004-08-19 16:56:12
/Classes/AppID/{00022601-0000-0000-C000-000000000046}/,SZ,Media Player,
/Classes/AppID/{27AF75ED-20D9-11D1-B1CE-00805FC1270E},KEY,,2004-08-19 16:56:12
/Classes/AppID/{27AF75ED-20D9-11D1-B1CE-00805FC1270E}/,SZ,Network Connections Manager,
/Classes/AppID/{27AF75ED-20D9-11D1-B1CE-00805FC1270E}/LocalService,SZ,Netman,
/Classes/AppID/{4FB6BB00-3347-11d0-B40A-00AA005FF586},KEY,,2004-08-19 16:56:14
/Classes/AppID/{4FB6BB00-3347-11d0-B40A-00AA005FF586}/,SZ,Logical Disk Manager Administrative Service,
/Classes/AppID/{4FB6BB00-3347-11d0-B40A-00AA005FF586}/LocalService,SZ,dmadmin,
/Classes/AppID/{4FB6BB00-3347-11d0-B40A-00AA005FF586}/ServiceParameters,SZ,/com,
/Classes/AppID/{6295DF2D-35EE-11d1-8707-00C04FD93327},KEY,,2004-08-19 16:56:12
/Classes/AppID/{6295DF2D-35EE-11d1-8707-00C04FD93327}/,SZ,Mobsync,
/Classes/AppID/{6295DF2D-35EE-11d1-8707-00C04FD93327}/RunAs,SZ,Interactive User,
