PATH,TYPE,VALUE,MTIME
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-501/Sid,KEY,,2004-08-19 17:01:54
/Policy/Accounts/S-1-5-21-2000478354-688789844-1708537768-501/Sid/,NONE,%01%05%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e%F5%01%00%00,
/Policy/Accounts/S-1-5-32-544,KEY,,2004-08-19 16:59:17
/Policy/Accounts/S-1-5-32-544/,BINARY,(null),
/Policy/Accounts/S-1-5-32-544/ActSysAc,KEY,,2004-08-19 17:01:50
/Policy/Accounts/S-1-5-32-544/ActSysAc/,NONE,%03%04%00%00,
/Policy/Accounts/S-1-5-32-544/Privilgs,KEY,,2004-08-19 17:01:50
/Policy/Accounts/S-1-5-32-544/Privilgs/,NONE,%12%00%00%00%00%00%00%00%08%00%00%00%00%00%00%00%00%00%00%00%11%00%00%00%00%00%00%00%03%00%00%00%12%00%00%00%00%00%00%00%00%00%00%00%0C%00%00%00%00%00%00%00%00%00%00%00%13%00%00%00%00%00%00%00%00%00%00%00%18%00%00%00%00%00%00%00%00%00%00%00%09%00%00%00%00%00%00%00%00%00%00%00%14%00%00%00%00%00%00%00%00%00%00%00%16%00%00%00%00%00%00%00%00%00%00%00%0B%00%00%00%00%00%00%00%00%00%00%00%0D%00%00%00%00%00%00%00%00%00%00%00%0E%00%00%00%00%00%00%00%00%00%00%00%0A%00%00%00%00%00%00%00%00%00%00%00%0F%00%00%00%00%00%00%00%00%00%00%00%05%00%00%00%00%00%00%00%00%00%00%00%17%00%00%00%00%00%00%00%00%00%00%00%19%00%00%00%00%00%00%00%00%00%00%00%1C%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-32-544/SecDesc,KEY,,2004-08-19 16:59:15
/Policy/Accounts/S-1-5-32-544/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-32-544/Sid,KEY,,2004-08-19 16:59:15
/Policy/Accounts/S-1-5-32-544/Sid/,NONE,%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00,
/Policy/Accounts/S-1-5-32-545,KEY,,2004-08-19 16:59:22
/Policy/Accounts/S-1-5-32-545/,BINARY,(null),
/Policy/Accounts/S-1-5-32-545/ActSysAc,KEY,,2004-08-19 17:01:52
/Policy/Accounts/S-1-5-32-545/ActSysAc/,NONE,%03%00%00%00,
/Policy/Accounts/S-1-5-32-545/Privilgs,KEY,,2004-08-19 17:01:53
/Policy/Accounts/S-1-5-32-545/Privilgs/,NONE,%03%00%00%00%00%00%00%00%13%00%00%00%00%00%00%00%00%00%00%00%17%00%00%00%00%00%00%00%00%00%00%00%19%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-32-545/SecDesc,KEY,,2004-08-19 16:59:22
/Policy/Accounts/S-1-5-32-545/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-32-545/Sid,KEY,,2004-08-19 16:59:22
/Policy/Accounts/S-1-5-32-545/Sid/,NONE,%01%02%00%00%00%00%00%05 %00%00%00!%02%00%00,
/Policy/Accounts/S-1-5-32-547,KEY,,2004-08-19 16:59:21
/Policy/Accounts/S-1-5-32-547/,BINARY,(null),
/Policy/Accounts/S-1-5-32-547/ActSysAc,KEY,,2004-08-19 17:01:52
/Policy/Accounts/S-1-5-32-547/ActSysAc/,NONE,%03%00%00%00,
/Policy/Accounts/S-1-5-32-547/Privilgs,KEY,,2004-08-19 17:01:52
/Policy/Accounts/S-1-5-32-547/Privilgs/,NONE,%05%00%00%00%00%00%00%00%0C%00%00%00%00%00%00%00%00%00%00%00%13%00%00%00%00%00%00%00%03%00%00%00%0D%00%00%00%00%00%00%00%00%00%00%00%17%00%00%00%00%00%00%00%00%00%00%00%19%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-32-547/SecDesc,KEY,,2004-08-19 16:59:20
/Policy/Accounts/S-1-5-32-547/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-32-547/Sid,KEY,,2004-08-19 16:59:20
/Policy/Accounts/S-1-5-32-547/Sid/,NONE,%01%02%00%00%00%00%00%05 %00%00%00#%02%00%00,
/Policy/Accounts/S-1-5-32-551,KEY,,2004-08-19 16:59:19
/Policy/Accounts/S-1-5-32-551/,BINARY,(null),
/Policy/Accounts/S-1-5-32-551/ActSysAc,KEY,,2004-08-19 17:01:51
/Policy/Accounts/S-1-5-32-551/ActSysAc/,NONE,%03%00%00%00,
/Policy/Accounts/S-1-5-32-551/Privilgs,KEY,,2004-08-19 17:01:51
/Policy/Accounts/S-1-5-32-551/Privilgs/,NONE,%04%00%00%00%00%00%00%00%11%00%00%00%00%00%00%00%00%00%00%00%12%00%00%00%00%00%00%00%03%00%00%00%13%00%00%00%00%00%00%00%00%00%00%00%17%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Accounts/S-1-5-32-551/SecDesc,KEY,,2004-08-19 16:59:17
/Policy/Accounts/S-1-5-32-551/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-32-551/Sid,KEY,,2004-08-19 16:59:17
/Policy/Accounts/S-1-5-32-551/Sid/,NONE,%01%02%00%00%00%00%00%05 %00%00%00'%02%00%00,
/Policy/Accounts/S-1-5-32-555,KEY,,2004-08-19 17:01:55
/Policy/Accounts/S-1-5-32-555/,BINARY,(null),
/Policy/Accounts/S-1-5-32-555/ActSysAc,KEY,,2004-08-19 17:01:55
/Policy/Accounts/S-1-5-32-555/ActSysAc/,NONE,%00%04%00%00,
/Policy/Accounts/S-1-5-32-555/SecDesc,KEY,,2004-08-19 17:01:54
/Policy/Accounts/S-1-5-32-555/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%0F%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Accounts/S-1-5-32-555/Sid,KEY,,2004-08-19 17:01:54
/Policy/Accounts/S-1-5-32-555/Sid/,NONE,%01%02%00%00%00%00%00%05 %00%00%00+%02%00%00,
/Policy/DefQuota,KEY,,2004-08-19 16:59:09
/Policy/DefQuota/,NONE,%00%00%00%02%00%00%10%00%00%00%01%00%00%00%00%0F%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00,
/Policy/Domains,KEY,,2004-08-19 16:59:09
/Policy/Domains/,NONE,(null),
/Policy/PolAcDmN,KEY,,2004-08-19 22:20:03
/Policy/PolAcDmN/,NONE,%1E%00 %00%08%00%00%00N%00-%001%00A%009%00O%00D%00N%006%00Z%00X%00K%004%00L%00Q%00%00%00,
/Policy/PolAcDmS,KEY,,2004-08-19 16:59:24
/Policy/PolAcDmS/,NONE,%01%04%00%00%00%00%00%05%15%00%00%00%92%E0<wT%19%0E)%A87%D6e,
/Policy/PolAdtEv,KEY,,2004-08-19 16:59:09
/Policy/PolAdtEv/,NONE,%00%00%07%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%09%00%00%00,
/Policy/PolAdtFL,KEY,,2004-08-19 16:59:09
/Policy/PolAdtFL/,NONE,%00%00,
/Policy/PolAdtLg,KEY,,2004-08-19 16:59:09
/Policy/PolAdtLg/,NONE,%00%00%00%00%00 %00%00C5%82%00%00%00%00%00%00%11Tt%F8b%07%00Vf%04%00%00%00%00%00%04%00%00@%00%00%00%00,
/Policy/PolDnDDN,KEY,,2004-08-19 22:20:13
/Policy/PolDnDDN/,NONE,(null),
/Policy/PolDnDmG,KEY,,2004-08-19 22:20:13
/Policy/PolDnDmG/,NONE,%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00%00,
/Policy/PolDnTrN,KEY,,2004-08-19 22:20:13
/Policy/PolDnTrN/,NONE,(null),
/Policy/PolMod,KEY,,2004-08-19 16:59:09
/Policy/PolMod/,NONE,%01%00%00%00%00%00%00%00P%D8%BA%D7%0D%86%C4%01,
/Policy/PolPrDmN,KEY,,2004-08-19 22:23:16
/Policy/PolPrDmN/,NONE,%08%00%0A%00%08%00%00%00E%00V%00I%00L%00%00%00,
/Policy/PolPrDmS,KEY,,2004-08-19 22:20:13
/Policy/PolPrDmS/,NONE,(null),
/Policy/PolRevision,KEY,,2004-08-19 16:59:09
/Policy/PolRevision/,NONE,%07%00%01%00,
/Policy/PolSecretEncryptionKey,KEY,,2004-08-19 16:59:09
/Policy/PolSecretEncryptionKey/,NONE,%01%00%00%00%01%00%00%00%00%00%00%00%CC%EE#1 q4%97hXH%C8m%F1%98%10_%A7%BB%CF%A0%B9y%CCK%C9%0Fl%08%E3W(eFi%F9%D8%9D%EA%AF%8A%A4%E1%D4%BF%F2%A8E%04a2%8F$j%B4%A6%0CW%C3K%89&a),
/Policy/PolState,KEY,,2004-08-19 16:59:09
/Policy/PolState/,NONE,%00%00%00%00,
/Policy/QuAbsMax,KEY,,2004-08-19 16:59:09
/Policy/QuAbsMax/,NONE,%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%FF%00%00%00%00%00%00%00%00%00%00%00%00,
/Policy/QuAbsMin,KEY,,2004-08-19 16:59:09
/Policy/QuAbsMin/,NONE,%00%00%01%00%00%00%01%00%01%00%00%00%00%10%00%00%00%10%00%00%00%00%00%00%00%00%00%00%00%00%00%00,
/Policy/SecDesc,KEY,,2004-08-19 17:02:20
/Policy/SecDesc/,NONE,%01%00%04%80%98%00%00%00%A8%00%00%00%00%00%00%00%14%00%00%00%02%00%84%00%06%00%00%00%01%00%14%00%00%08%00%00%01%01%00%00%00%00%00%05%07%00%00%00%00%00%18%00%FF%1F%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%01%08%02%00%01%01%00%00%00%00%00%01%00%00%00%00%00%00%14%00%01%08%00%00%01%01%00%00%00%00%00%05%07%00%00%00%00%00%14%00%00%10%00%00%01%01%00%00%00%00%00%05%13%00%00%00%00%00%14%00%00%10%00%00%01%01%00%00%00%00%00%05%14%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Secrets,KEY,,2004-08-27 15:32:31
/Policy/Secrets/,NONE,(null),
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount,KEY,,2004-08-19 22:28:23
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/,DWORD,(null),
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/CupdTime,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/CupdTime/,NONE,%10%0E%CE%D7;%86%C4%01,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/CurrVal,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/CurrVal/,NONE,(%00%00%00(%00%00 %8C-%08%00K%EC(%C4%FE%BAC%CF%E4%BFq%25P%00%14%B7*4%EE%C2>%EA-%EB%0F%C1%0D%AD%AA%0C%B3%16^%AC%B9%2C%C3XTO,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/OldVal,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/OldVal/,NONE,%08%00%00%00%08%00%00 %EC%FA%08%00%1E%AD%B8%B6%CA%D6%A1#,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/OupdTime,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/OupdTime/,NONE,%B0%CFC%D6;%86%C4%01,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/SecDesc,KEY,,2004-08-19 22:28:22
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantAccount/SecDesc/,NONE,%01%00%04%80H%00%00%00X%00%00%00%00%00%00%00%14%00%00%00%02%004%00%02%00%00%00%00%00%18%00%03%00%0F%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%00%00%14%00%00%00%02%00%01%01%00%00%00%00%00%01%00%00%00%00%01%02%00%00%00%00%00%05 %00%00%00 %02%00%00%01%01%00%00%00%00%00%05%12%00%00%00,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID,KEY,,2004-08-19 22:28:23
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/,DWORD,(null),
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/CupdTime,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/CupdTime/,NONE,%00%CC%A4%D7;%86%C4%01,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/CurrVal,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/CurrVal/,NONE,(%00%00%00(%00%00 %8C-%08%00PV%A3%9E%E9%7F%F1%A5%BA%05%F8%C3l%14|%0E%C0%FB%99%A1yL`%AE%0C*&%FB%88k%1D%A5%BC%BE%F4%95 ^%D9%01,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/OldVal,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/OldVal/,NONE,%08%00%00%00%08%00%00 %EC%FA%08%00%1E%AD%B8%B6%CA%D6%A1#,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/OupdTime,KEY,,2004-08-19 22:28:25
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/OupdTime/,NONE,@1%AA%D6;%86%C4%01,
/Policy/Secrets/0083343a-f925-4ed7-b1d6-d95d17a0b57b-RemoteDesktopHelpAssistantSID/SecDesc,KEY,,2004-08-19 22:28:23
